,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
0,1,60,RL,5.831327892742091,19.212182313188084,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,8.059125775508376,Gd,TA,PConc,Gd,TA,No,GLQ,11.170326790619496,Unf,0.0,7.483295642295591,11.69262258528247,GasA,Ex,Y,SBrkr,11.69262258528247,11.686189379390555,0.0,13.698887979000148,1,0,2,1,3,1,Gd,8,Typ,0,None,Attchd,YearGroup7,RFn,2,10.506270963009685,TA,TA,Y,0.0,5.7146689026506605,0.0,0.0,0.0,0.0,None,None,None,0.0,2,2008,WD,Normal,12.24769911637256
1,2,20,RL,6.221213632878419,19.71220477890197,Pave,None,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,12.062831653433358,Unf,0.0,8.897843946804546,12.792276226358874,GasA,Ex,Y,SBrkr,12.792276226358874,0.0,0.0,12.792276226358874,0,1,2,0,3,1,TA,6,Typ,1,TA,Attchd,YearGroup6,RFn,2,10.06209830903299,TA,TA,Y,9.010205578972315,0.0,0.0,0.0,0.0,0.0,None,None,None,0.0,5,2007,WD,Normal,12.109016442313738
2,3,60,RL,5.914940018959451,20.347240908682487,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,7.6465380079030645,Gd,TA,PConc,Gd,TA,Mn,GLQ,10.200342662007953,Unf,0.0,9.917059938656934,11.89203905911452,GasA,Ex,Y,SBrkr,11.89203905911452,11.724598476197201,0.0,13.83208545463177,1,0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,YearGroup7,RFn,2,10.775536258885502,TA,TA,Y,0.0,5.0533710494211155,0.0,0.0,0.0,0.0,None,None,None,0.0,9,2008,WD,Normal,12.317171167298682
3,4,70,RL,5.684506656824126,19.691552676807884,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,TA,TA,BrkTil,TA,Gd,No,ALQ,8.274265741119429,Unf,0.0,10.468499910096941,11.354094166792635,GasA,Gd,Y,SBrkr,12.013683020322897,11.354094166792635,0.0,13.711364159471431,1,0,1,0,3,1,Gd,7,Typ,1,Gd,Detchd,YearGroup7,Unf,3,10.918252927785405,TA,TA,Y,0.0,4.745132396064701,8.797735592116597,0.0,0.0,0.0,None,None,None,0.0,2,2006,WD,Abnorml,11.849404844423074
4,5,60,RL,6.314734756825907,21.32515985291932,Pave,None,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,9.391827134755262,Gd,TA,PConc,Gd,TA,Av,GLQ,10.971129399749735,Unf,0.0,10.221051196470764,12.510587913259403,GasA,Ex,Y,SBrkr,12.510587913259403,12.271364745626231,0.0,14.48002949561566,1,0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,YearGroup7,RFn,3,11.627707599932261,TA,TA,Y,8.013883697367245,6.314734756825907,0.0,0.0,0.0,0.0,None,None,None,0.0,12,2008,WD,Normal,12.429220196836383
5,6,50,RL,6.337529394588084,21.282282796539835,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,Wood,Gd,TA,No,GLQ,11.267216541031873,Unf,0.0,5.80273872401839,11.493820273589396,GasA,Ex,Y,SBrkr,11.493820273589396,10.589574424774424,0.0,13.015962914755876,1,0,1,1,1,1,TA,5,Typ,0,None,Attchd,YearGroup7,Unf,2,10.169007130464756,TA,TA,Y,4.969939052451073,4.492017742920502,0.0,9.178050664421775,0.0,0.0,None,MnPrv,Shed,11.147538247731708,10,2009,WD,Normal,11.870606902224587
6,7,20,RL,6.098626104970388,19.907528872852918,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,7.944502934774821,Gd,TA,PConc,Ex,TA,Av,GLQ,13.031092624489567,Unf,0.0,9.15574970587587,13.655780507688625,GasA,Ex,Y,SBrkr,13.670207259396387,0.0,0.0,13.670207259396387,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,YearGroup7,RFn,2,10.89354133302396,TA,TA,Y,8.64931139996047,5.59142712460611,0.0,0.0,0.0,0.0,None,None,None,0.0,8,2007,WD,Normal,12.634606283893019
7,8,60,RL,6.246372486557445,20.023861568757013,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,8.511219710154148,TA,TA,CBlock,Gd,TA,Mn,ALQ,11.702248507491014,BLQ,4.597156711708115,8.274265741119429,12.413831308023239,GasA,Ex,Y,SBrkr,12.413831308023239,12.077149047696548,0.0,14.320888266014626,1,0,2,1,3,1,TA,7,Typ,2,TA,Attchd,YearGroup6,RFn,2,10.189934126006927,TA,TA,Y,8.463563732298573,8.147315588624346,8.39538258223558,0.0,0.0,0.0,None,None,Shed,9.391827134755262,11,2009,WD,Normal,12.206077645517674
8,9,50,RM,5.392276337227255,17.98987134386776,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,11.987363555250518,11.987363555250518,GasA,Gd,Y,FuseF,12.186750882025454,11.339778687893531,0.0,13.811378405864021,0,0,2,0,2,2,TA,8,Min1,2,TA,Detchd,YearGroup4,Unf,2,10.105326135535595,Fa,TA,Y,6.448232316019433,0.0,8.158132683068054,0.0,0.0,0.0,None,None,None,0.0,4,2008,WD,Abnorml,11.774527900858468
9,10,190,RL,5.357203202420049,18.712543705168287,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,GLQ,11.676515545860786,Unf,0.0,7.338607270038526,12.099928771272056,GasA,Ex,Y,SBrkr,12.335431399519656,0.0,0.0,12.335431399519656,1,0,1,0,2,2,TA,5,Typ,2,TA,Attchd,YearGroup4,RFn,1,8.158132683068054,Gd,TA,Y,0.0,1.8203341036428238,0.0,0.0,0.0,0.0,None,None,None,0.0,1,2008,WD,Normal,11.678448377988165
